ProviderName,LicenseType,ProviderType,ProviderTypeDescription,QualityRating,QualityRatingDescription,ProviderCapacity,PhysicalCity,PhysicalZipCode,CountyNumber,CountyName,PhoneNumber,Hours of operation,Gender,Age
Abelina Martinez,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,205-398-3018,9AM-5PM,Female,0 - 3
Abigail  Rodriguez,UNLICENSED,6,Relative In-Home,0,Not Rated,5,HORN LAKE,38637,17,DESOTO,205-454-3601,9AM-5PM,Female,0 - 3
K Street Learning Center LLC,LICENSED,2,Slot Contractor,0,Not Rated,30,LAUREL,39440,34,JONES,205-698-0401,9AM-5PM,Female,0 - 3
Abigail Burross,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,WALLS,38680,17,DESOTO,214-580-6261,9AM-5PM,Female,0 - 3
Abigail Khan,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,MOSS POINT,39563,30,JACKSON,217-503-0764,9AM-5PM,Female,0 - 3
Abigail Moore,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,MOUNT OLIVE,39119,16,COVINGTON,225-620-7470,9AM-5PM,Female,0 - 3
Abla  Adinou,UNLICENSED,6,Relative In-Home,0,Not Rated,5,BELZONI,39038,27,HUMPHREYS,228-202-5165,9AM-5PM,Female,0 - 3
Aceontrac Morgan,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,HAZLEHURST,39083,15,COPIAH,228-202-5215,9AM-5PM,Female,0 - 3
Learning 4 Life Child Care,LICENSED,3,Group Home,0,Not Rated,80,JACKSON,39209,25,HINDS,228-202-5215,9AM-5PM,Female,0 - 3
Ada Troutman,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,MERIDIAN,39301,38,LAUDERDALE,228-202-5215,9AM-5PM,Female,0 - 3
Addie Thompson,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,HERNANDO,38632,17,DESOTO,228-202-7607,9AM-5PM,Female,0 - 3
Adela Aguilar Zuniga,UNLICENSED,6,Relative In-Home,0,Not Rated,5,MOSS POINT,39562,30,JACKSON,228-202-7607,9AM-5PM,Female,0 - 3
Adela Rodriguez-Vega,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,HORN LAKE,38637,17,DESOTO,228-205-0479,9AM-5PM,Female,0 - 3
Adela Rubio Hernandez,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,MERIDIAN,39301,38,LAUDERDALE,228-205-2200,9AM-5PM,Female,0 - 3
Adella Vasquez Estrada,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,DE KALB,39328,35,KEMPER,228-205-3525,9AM-5PM,Female,0 - 3
1.2..me Kidz,LICENSED,4,Center,0,Not Rated,55,JACKSON,39206,25,HINDS,228-205-3773,9AM-5PM,Female,0 - 3
Adria Jocelyn Browning,UNLICENSED,6,Relative In-Home,0,Not Rated,5,SOSO,39480,34,JONES,228-205-4962,9AM-5PM,Female,0 - 3
1.2..me...Childcare,LICENSED,2,Slot Contractor,0,Not Rated,98,HERNANDO,38632,17,DESOTO,228-206-1393,9AM-5PM,Female,0 - 3
Adriana  Puentes,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,MERIDIAN,39301,38,LAUDERDALE,228-206-1667,9AM-5PM,Female,0 - 3
11th Street Child Development Center,LICENSED,3,Group Home,0,Not Rated,68,OLIVE BRANCH,38654,17,DESOTO,228-206-2604,9AM-5PM,Female,0 - 3
123-ABC Learning Center,LICENSED,4,Center,0,Not Rated,199,BYHALIA,38611,17,DESOTO,228-206-2886,9AM-5PM,Female,0 - 3
Adriana  Rivera,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,GREENVILLE,38701,76,WASHINGTON,228-206-3604,9AM-5PM,Female,0 - 3
Adriana Cardenas,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,MOSS POINT,39563,30,JACKSON,228-206-5588,9AM-5PM,Female,0 - 3
1st Step 2 Life,LICENSED,4,Center,0,Not Rated,30,HATTIESBURG,39402,37,LAMAR,228-206-7103,9AM-5PM,Female,0 - 3
Adriana Elizabeth Otero,UNLICENSED,6,Relative In-Home,0,Not Rated,5,JACKSON,39209,25,HINDS,228-206-7748,9AM-5PM,Female,0 - 3
Adriana M Medina,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,MERIDIAN,39305,38,LAUDERDALE,228-206-8518,9AM-5PM,Female,0 - 3
1st Step Early Learning Center,LICENSED,4,Center,0,Not Rated,203,BRANDON,39042,61,RANKIN,228-206-8654,9AM-5PM,Female,0 - 3
Adriana Martinez,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,JACKSON,39209,25,HINDS,228-207-2407,9AM-5PM,Female,0 - 3
